,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
у,0.00036239762267159525,0.0010871928680147858,0.0018119881133579763,0.0010871928680147858,0.0030441400304414,0.0002899180981372762,0.0,0.0021019062114952525,0.0001449590490686381,0.0005073566717402334,0.0,0.0019569471624266144,0.0034790171776473144,0.001449590490686381,0.0018844676378922953,0.0002899180981372762,0.0015945495397550191,0.0006523157208088715,0.0023918243096325287,0.0031890990795100382,0.00021743857360295715,0.0,0.0007972747698775096,0.0,0.0017395085888236572,0.0010871928680147858,0.0004348771472059143,0.0,0.0,0.0,7.247952453431905e-05,0.001377110966152062,0.0002899180981372762
ф,0.0002899180981372762,0.0,0.0,0.0,0.0,0.00021743857360295715,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05,0.0001449590490686381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0
х,0.0006523157208088715,0.0004348771472059143,0.0009422338189461477,0.00021743857360295715,0.00021743857360295715,7.247952453431905e-05,0.0,0.0,0.00021743857360295715,0.0,0.0,0.0001449590490686381,0.00021743857360295715,0.00036239762267159525,0.0009422338189461477,0.002899180981372762,0.00036239762267159525,0.0001449590490686381,0.0004348771472059143,0.0,7.247952453431905e-05,7.247952453431905e-05,0.0,0.0,7.247952453431905e-05,7.247952453431905e-05,0.0,0.0,0.0,0.0,7.247952453431905e-05,0.0,7.247952453431905e-05
ц,0.0004348771472059143,0.0,7.247952453431905e-05,0.0,0.0,0.0007972747698775096,0.0,0.0,0.0,0.0004348771472059143,0.0,0.0,0.0,0.0,0.0,0.0001449590490686381,7.247952453431905e-05,0.0,0.0,7.247952453431905e-05,7.247952453431905e-05,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0005798361962745524,0.0,0.0,0.0,0.0
ч,0.0023193447850982096,0.0,0.0,0.0,0.0,0.0034065376531129954,0.0,0.0,0.0,0.0022468652605638906,0.0,0.0004348771472059143,7.247952453431905e-05,0.0,0.0010871928680147858,0.0001449590490686381,0.0,0.0,0.0,0.0034790171776473144,0.0010871928680147858,0.0,0.0,0.0,0.0,0.0001449590490686381,0.0,0.0,0.0,0.0002899180981372762,0.0,0.0,0.0
ш,0.0006523157208088715,0.0,7.247952453431905e-05,0.0,0.0,0.0015220700152207,0.0,0.0,0.0,0.0018844676378922953,0.0,0.0010871928680147858,0.0006523157208088715,0.0,7.247952453431905e-05,0.0006523157208088715,0.0,0.0,7.247952453431905e-05,7.247952453431905e-05,0.00036239762267159525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007972747698775096,0.0,0.0,0.0
щ,0.00036239762267159525,0.0,0.0,0.0,0.0,0.0024643038341668477,0.0,0.0,0.0,0.0007972747698775096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002899180981372762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05
ы,0.0,0.0005073566717402334,0.001377110966152062,0.00036239762267159525,0.0002899180981372762,0.0015220700152207,0.0,0.0001449590490686381,0.00036239762267159525,0.0007247952453431905,0.0012321519170834239,0.0005073566717402334,0.002754221932304124,0.0018844676378922953,0.0004348771472059143,0.00021743857360295715,0.0008697542944118286,0.0005073566717402334,0.001449590490686381,0.0009422338189461477,7.247952453431905e-05,0.0,0.0010871928680147858,0.0,0.00036239762267159525,0.00036239762267159525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ь,0.0002899180981372762,0.0004348771472059143,0.001304631441617743,0.0004348771472059143,0.0005073566717402334,0.0007247952453431905,0.0,0.0001449590490686381,0.0010147133434804667,0.0010147133434804667,0.0,0.002609262883235486,0.00021743857360295715,0.0008697542944118286,0.003986373849387548,0.0002899180981372762,0.0009422338189461477,0.0002899180981372762,0.0021019062114952525,0.0005798361962745524,0.0001449590490686381,7.247952453431905e-05,7.247952453431905e-05,7.247952453431905e-05,0.0002899180981372762,0.0007247952453431905,0.0,0.0,0.0,0.0,0.0,0.0007972747698775096,0.0004348771472059143
э,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,7.247952453431905e-05,0.0,7.247952453431905e-05,0.0001449590490686381,0.0,0.0,0.0001449590490686381,7.247952453431905e-05,0.0024643038341668477,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,0.0,0.00021743857360295715,7.247952453431905e-05,0.00021743857360295715,0.0002899180981372762,0.0,0.0,0.0,7.247952453431905e-05,7.247952453431905e-05,0.0,0.00036239762267159525,7.247952453431905e-05,0.0004348771472059143,0.00021743857360295715,0.0001449590490686381,0.00036239762267159525,0.0001449590490686381,0.0005798361962745524,0.0005073566717402334,0.0001449590490686381,0.0,0.0,0.0,0.0001449590490686381,0.0,0.001304631441617743,0.0,0.0,0.0,0.0,0.0,7.247952453431905e-05
я,0.0005073566717402334,0.0004348771472059143,0.0025367833587011668,0.0007972747698775096,0.0018844676378922953,0.0006523157208088715,0.0,0.0004348771472059143,0.0012321519170834239,0.0010871928680147858,0.0,0.0010147133434804667,0.0011596723925491048,0.0010871928680147858,0.0033340581285786763,0.0012321519170834239,0.002754221932304124,0.0004348771472059143,0.0021019062114952525,0.0022468652605638906,0.0012321519170834239,7.247952453431905e-05,7.247952453431905e-05,0.0,0.0007972747698775096,0.0001449590490686381,0.0002899180981372762,0.0,0.0,0.0,0.0001449590490686381,0.0001449590490686381,0.0006523157208088715
Entropy,8.262839076408882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1.0590890184784794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
